编号,类型,域,优先级,状态,Java源文件,Python目标文件,来源文件,说明
M-001,Model,common,P0B,已完成,core/common/Account.java,models/common/account.py,,
M-002,Model,common,P0B,已完成,core/common/BinaryResource.java,models/common/binary_resource.py,,
M-003,Model,common,P0B,已完成,core/common/FileHolder.java,models/common/file_holder.py,,
M-004,Model,common,P0B,已完成,core/common/OAuthProvider.java,models/common/oauth_provider.py,,
M-005,Model,common,P0A,已完成,core/common/Organization.java,models/common/organization.py,,
M-006,Model,common,P0B,已完成,core/common/ProvidedAccount.java,models/common/provided_account.py,,
M-007,Model,common,P0B,已完成,core/common/ProvidedAccountKey.java,models/common/provided_account_key.py,,
M-008,Model,common,P0A,已完成,core/common/User.java,models/common/user.py,,
M-009,Model,common,P0A,已完成,core/common/UserGroup.java,models/common/user_group.py,,
M-010,Model,common,P0B,已完成,core/common/UserGroupKey.java,models/common/user_group_key.py,,
M-011,Model,common,P0B,已完成,core/common/UserKey.java,models/common/user_key.py,,
M-012,Model,common,P0B,已完成,core/common/Version.java,models/common/version.py,,
M-013,Model,common,P0,已完成,core/common/VersionFormatException.java,core/exceptions.py,,
M-014,Model,common,P0A,已完成,core/common/Workspace.java,models/common/workspace.py,,
M-015,Model,product,P0A,已完成,core/product/CADInstance.java,models/product/cad_instance.py,,
M-016,Model,product,P0A,已完成,core/product/Component.java,models/product/component.py,,
M-017,Model,product,P0A,已完成,core/product/ConfigurationItem.java,models/product/configuration_item.py,,
M-018,Model,product,P0B,已完成,core/product/ConfigurationItemKey.java,models/product/configuration_item_key.py,,
M-019,Model,product,P0A,已完成,core/product/Conversion.java,models/product/conversion.py,,
M-020,Model,product,P0B,已完成,core/product/DateBasedEffectivity.java,models/product/date_based_effectivity.py,,
M-021,Model,product,P0B,已完成,core/product/Effectivity.java,models/product/effectivity.py,,
M-022,Model,product,P0A,已完成,core/product/Geometry.java,models/product/geometry.py,,
M-023,Model,product,P0B,已完成,core/product/Import.java,models/product/import_.py,,
M-024,Model,product,P0B,已完成,core/product/InstancePartNumberAttribute.java,models/product/instance_part_number_attribute.py,,
M-025,Model,product,P0B,已完成,core/product/Layer.java,models/product/layer.py,,
M-026,Model,product,P0B,已完成,core/product/LotBasedEffectivity.java,models/product/lot_based_effectivity.py,,
M-027,Model,product,P0B,已完成,core/product/Marker.java,models/product/marker.py,,
M-028,Model,product,P0A,已完成,core/product/PartAlternateLink.java,models/product/part_alternate_link.py,,
M-029,Model,product,P0A,已完成,core/product/PartIteration.java,models/product/part_iteration.py,,
M-030,Model,product,P0B,已完成,core/product/PartIterationKey.java,models/product/part_iteration_key.py,,
M-031,Model,product,P0A,已完成,core/product/PartLink.java,models/product/part_link.py,,
M-032,Model,product,P0B,已完成,core/product/PartLinkList.java,models/product/part_link_list.py,,
M-033,Model,product,P0A,已完成,core/product/PartMaster.java,models/product/part_master.py,,
M-034,Model,product,P0B,已完成,core/product/PartMasterKey.java,models/product/part_master_key.py,,
M-035,Model,product,P0A,已完成,core/product/PartMasterTemplate.java,models/product/part_master_template.py,,
M-036,Model,product,P0B,已完成,core/product/PartMasterTemplateKey.java,models/product/part_master_template_key.py,,
M-037,Model,product,P0B,已完成,core/product/PartNumberAttributeTemplate.java,models/product/part_number_attribute_template.py,,
M-038,Model,product,P0A,已完成,core/product/PartRevision.java,models/product/part_revision.py,,
M-039,Model,product,P0B,已完成,core/product/PartRevisionKey.java,models/product/part_revision_key.py,,
M-040,Model,product,P0A,已完成,core/product/PartSubstituteLink.java,models/product/part_substitute_link.py,,
M-041,Model,product,P0A,已完成,core/product/PartUsageLink.java,models/product/part_usage_link.py,,
M-042,Model,product,P0B,已完成,core/product/PathToPathLink.java,models/product/path_to_path_link.py,,
M-043,Model,product,P0B,已完成,core/product/RotationMatrix.java,models/product/rotation_matrix.py,,
M-044,Model,product,P0B,已完成,core/product/RotationType.java,models/product/rotation_type.py,,
M-045,Model,product,P0B,已完成,core/product/SerialNumberBasedEffectivity.java,models/product/serial_number_based_effectivity.py,,
M-046,Model,product,P0B,已完成,core/product/TypeEffectivity.java,models/product/type_effectivity.py,,
M-047,Model,document,P0A,已完成,core/document/DocumentIteration.java,models/document/document_iteration.py,,
M-048,Model,document,P0B,已完成,core/document/DocumentIterationKey.java,models/document/document_iteration_key.py,,
M-049,Model,document,P0A,已完成,core/document/DocumentLink.java,models/document/document_link.py,,
M-050,Model,document,P0A,已完成,core/document/DocumentMaster.java,models/document/document_master.py,,
M-051,Model,document,P0B,已完成,core/document/DocumentMasterKey.java,models/document/document_master_key.py,,
M-052,Model,document,P0A,已完成,core/document/DocumentMasterTemplate.java,models/document/document_master_template.py,,
M-053,Model,document,P0B,已完成,core/document/DocumentMasterTemplateKey.java,models/document/document_master_template_key.py,,
M-054,Model,document,P0A,已完成,core/document/DocumentRevision.java,models/document/document_revision.py,,
M-055,Model,document,P0B,已完成,core/document/DocumentRevisionKey.java,models/document/document_revision_key.py,,
M-056,Model,document,P0B,已完成,core/document/IterationChangeSubscription.java,models/document/iteration_change_subscription.py,,
M-057,Model,document,P0B,已完成,core/document/StateChangeSubscription.java,models/document/state_change_subscription.py,,
M-058,Model,document,P0B,已完成,core/document/Subscription.java,models/document/subscription.py,,
M-059,Model,document,P0B,已完成,core/document/SubscriptionKey.java,models/document/subscription_key.py,,
M-060,Model,change,P0A,已完成,core/change/ChangeIssue.java,models/change/change_issue.py,,
M-061,Model,change,P0A,已完成,core/change/ChangeItem.java,models/change/change_item.py,,
M-062,Model,change,P0B,已完成,core/change/ChangeItemCategory.java,models/change/change_item_category.py,,
M-063,Model,change,P0B,已完成,core/change/ChangeItemPriority.java,models/change/change_item_priority.py,,
M-064,Model,change,P0A,已完成,core/change/ChangeOrder.java,models/change/change_order.py,,
M-065,Model,change,P0A,已完成,core/change/ChangeRequest.java,models/change/change_request.py,,
M-066,Model,change,P0A,已完成,core/change/Milestone.java,models/change/milestone.py,,
M-067,Model,change,P0A,已完成,core/change/ModificationNotification.java,models/change/modification_notification.py,,
M-068,Model,workflow,P0A,已完成,core/workflow/Activity.java,models/workflow/activity.py,,
M-069,Model,workflow,P0B,已完成,core/workflow/ActivityKey.java,models/workflow/activity_key.py,,
M-070,Model,workflow,P0A,已完成,core/workflow/ActivityModel.java,models/workflow/activity_model.py,,
M-071,Model,workflow,P0A,已完成,core/workflow/ParallelActivity.java,models/workflow/parallel_activity.py,,
M-072,Model,workflow,P0A,已完成,core/workflow/ParallelActivityModel.java,models/workflow/parallel_activity_model.py,,
M-073,Model,workflow,P0A,已完成,core/workflow/Role.java,models/workflow/role.py,,
M-074,Model,workflow,P0B,已完成,core/workflow/RoleKey.java,models/workflow/role_key.py,,
M-075,Model,workflow,P0A,已完成,core/workflow/SequentialActivity.java,models/workflow/sequential_activity.py,,
M-076,Model,workflow,P0A,已完成,core/workflow/SequentialActivityModel.java,models/workflow/sequential_activity_model.py,,
M-077,Model,workflow,P0A,已完成,core/workflow/Task.java,models/workflow/task.py,,
M-078,Model,workflow,P0B,已完成,core/workflow/TaskKey.java,models/workflow/task_key.py,,
M-079,Model,workflow,P0A,已完成,core/workflow/TaskModel.java,models/workflow/task_model.py,,
M-080,Model,workflow,P0B,已完成,core/workflow/TaskModelKey.java,models/workflow/task_model_key.py,,
M-081,Model,workflow,P0B,已完成,core/workflow/TaskWrapper.java,models/workflow/task_wrapper.py,,
M-082,Model,workflow,P0A,已完成,core/workflow/Workflow.java,models/workflow/workflow.py,,
M-083,Model,workflow,P0A,已完成,core/workflow/WorkflowModel.java,models/workflow/workflow_model.py,,
M-084,Model,workflow,P0B,已完成,core/workflow/WorkflowModelKey.java,models/workflow/workflow_model_key.py,,
M-085,Model,workflow,P0B,已完成,core/workflow/WorkspaceWorkflow.java,models/workflow/workspace_workflow.py,,
M-086,Model,workflow,P0B,已完成,core/workflow/WorkspaceWorkflowKey.java,models/workflow/workspace_workflow_key.py,,
M-087,Model,configuration,P0B,已完成,core/configuration/BaselinedDocument.java,models/configuration/baselined_document.py,,
M-088,Model,configuration,P0B,已完成,core/configuration/BaselinedPart.java,models/configuration/baselined_part.py,,
M-089,Model,configuration,P0B,已完成,core/configuration/DocumentBaseline.java,models/configuration/document_baseline.py,,
M-090,Model,configuration,P0B,已完成,core/configuration/DocumentCollection.java,models/configuration/document_collection.py,,
M-091,Model,configuration,P0B,已完成,core/configuration/PartCollection.java,models/configuration/part_collection.py,,
M-092,Model,configuration,P0B,已完成,core/configuration/PathChoice.java,models/configuration/path_choice.py,,
M-093,Model,configuration,P0B,已完成,core/configuration/PathDataIteration.java,models/configuration/path_data_iteration.py,,
M-094,Model,configuration,P0B,已完成,core/configuration/PathDataMaster.java,models/configuration/path_data_master.py,,
M-095,Model,configuration,P0A,已完成,core/configuration/ProductBaseline.java,models/configuration/product_baseline.py,,
M-096,Model,configuration,P0B,已完成,core/configuration/ProductConfigSpec.java,models/configuration/product_config_spec.py,,
M-097,Model,configuration,P0A,已完成,core/configuration/ProductConfiguration.java,models/configuration/product_configuration.py,,
M-098,Model,configuration,P0A,已完成,core/configuration/ProductInstanceIteration.java,models/configuration/product_instance_iteration.py,,
M-099,Model,configuration,P0A,已完成,core/configuration/ProductInstanceMaster.java,models/configuration/product_instance_master.py,,
M-100,Model,configuration,P0B,已完成,core/configuration/ProductStructureFilter.java,models/configuration/product_structure_filter.py,,
M-101,Model,configuration,P0B,已完成,core/configuration/ResolvedCollection.java,models/configuration/resolved_collection.py,,
M-102,Model,configuration,P0B,已完成,core/configuration/DocumentBaselineType.java,models/configuration/document_baseline_type.py,,
M-103,Model,configuration,P0B,已完成,core/configuration/ProductBaselineType.java,models/configuration/product_baseline_type.py,,
M-104,Model,configuration,P0B,已完成,core/configuration/CascadeResult.java,models/configuration/cascade_result.py,,
M-105,Model,configuration,P0B,已完成,core/configuration/ResolvedDocumentLink.java,models/configuration/resolved_document_link.py,,
M-106,Model,configuration,P0B,已完成,core/configuration/ResolvedPartLink.java,models/configuration/resolved_part_link.py,,
M-107,Model,configuration,P0B,已完成,core/configuration/BaselinedDocumentBinaryResourceCollection.java,models/configuration/baselined_document_binary_resource_collection.py,,
M-108,Model,security,P0A,已完成,core/security/ACL.java,models/security/acl.py,,
M-109,Model,security,P0B,已完成,core/security/ACLPermission.java,models/security/acl_permission.py,,
M-110,Model,security,P0A,已完成,core/security/ACLUserEntry.java,models/security/acl_user_entry.py,,
M-111,Model,security,P0A,已完成,core/security/ACLUserGroupEntry.java,models/security/acl_user_group_entry.py,,
M-112,Model,security,P0B,已完成,core/security/Credential.java,models/security/credential.py,,
M-113,Model,security,P0B,已完成,core/security/PasswordRecoveryRequest.java,models/security/password_recovery_request.py,,
M-114,Model,security,P0A,已完成,core/security/UserGroupMapping.java,models/security/user_group_mapping.py,,
M-115,Model,security,P0B,已完成,core/security/WorkspaceUserGroupMembership.java,models/security/workspace_user_group_membership.py,,
M-116,Model,security,P0B,已完成,core/security/WorkspaceUserMembership.java,models/security/workspace_user_membership.py,,
M-117,Model,meta,P0B,已完成,core/meta/DefaultAttributeTemplate.java,models/meta/default_attribute_template.py,,
M-118,Model,meta,P0B,已完成,core/meta/Folder.java,models/meta/folder.py,,
M-119,Model,meta,P0B,已完成,core/meta/InstanceAttribute.java,models/meta/instance_attribute.py,,
M-120,Model,meta,P0B,已完成,core/meta/InstanceAttributeTemplate.java,models/meta/instance_attribute_template.py,,
M-121,Model,meta,P0B,已完成,core/meta/InstanceBooleanAttribute.java,models/meta/instance_boolean_attribute.py,,
M-122,Model,meta,P0B,已完成,core/meta/InstanceDateAttribute.java,models/meta/instance_date_attribute.py,,
M-123,Model,meta,P0B,已完成,core/meta/InstanceListOfValuesAttribute.java,models/meta/instance_list_of_values_attribute.py,,
M-124,Model,meta,P0B,已完成,core/meta/InstanceLongTextAttribute.java,models/meta/instance_long_text_attribute.py,,
M-125,Model,meta,P0B,已完成,core/meta/InstanceNumberAttribute.java,models/meta/instance_number_attribute.py,,
M-126,Model,meta,P0B,已完成,core/meta/InstanceTextAttribute.java,models/meta/instance_text_attribute.py,,
M-127,Model,meta,P0B,已完成,core/meta/InstanceURLAttribute.java,models/meta/instance_url_attribute.py,,
M-128,Model,meta,P0B,已完成,core/meta/ListOfValues.java,models/meta/list_of_values.py,,
M-129,Model,meta,P0B,已完成,core/meta/ListOfValuesAttributeTemplate.java,models/meta/list_of_values_attribute_template.py,,
M-130,Model,meta,P0B,已完成,core/meta/ListOfValuesKey.java,models/meta/list_of_values_key.py,,
M-131,Model,meta,P0B,已完成,core/meta/NameValuePair.java,models/meta/name_value_pair.py,,
M-132,Model,meta,P0B,已完成,core/meta/RevisionStatus.java,models/meta/revision_status.py,,
M-133,Model,meta,P0B,已完成,core/meta/StatusChange.java,models/meta/status_change.py,,
M-134,Model,meta,P0B,已完成,core/meta/Tag.java,models/meta/tag.py,,
M-135,Model,meta,P0B,已完成,core/meta/TagKey.java,models/meta/tag_key.py,,
